,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance
0,00000114,NUEVA ESPERANZA,,100.000,954,954,"17,298",00000114.jpg,8.856,7.557,22,04/10/2022,12:45 h,  97.9466
1,00000113,BANDERAS TACNEÑISTAS,,100.000,954,954,"31,006",00000113.jpg,15.874,13.545,22,04/10/2022,12:45 h,  97.9466
2,00000118,IGUALDAD NACIONAL CRISTIANA AUTONOMA - INCA,,100.000,954,954,"2,636",00000118.jpg,1.350,1.152,22,04/10/2022,12:45 h,  97.9466
3,00000116,FRENTE ESPERANZA POR TACNA,,100.000,954,954,"27,070",00000116.jpg,13.859,11.826,22,04/10/2022,12:45 h,  97.9466
4,00000115,MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA,,100.000,954,954,"59,797",00000115.jpg,30.614,26.123,22,04/10/2022,12:45 h,  97.9466
5,00000119,SIEMPRE TACNA,,100.000,954,954,"40,715",00000119.jpg,20.845,17.787,22,04/10/2022,12:45 h,  97.9466
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,954,954,"2,877",00000011.jpg,1.473,1.257,22,04/10/2022,12:45 h,  97.9466
7,00000009,PODEMOS PERU,,100.000,954,954,"2,986",00000009.jpg,1.529,1.304,22,04/10/2022,12:45 h,  97.9466
8,00000003,RENOVACION POPULAR,,100.000,954,954,"2,251",00000003.jpg,1.152,0.983,22,04/10/2022,12:45 h,  97.9466
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,954,954,"1,501",00000004.jpg,0.768,0.656,22,04/10/2022,12:45 h,  97.9466
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,954,954,"4,961",00000008.jpg,2.540,2.167,22,04/10/2022,12:45 h,  97.9466
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,954,954,"2,228",00000002.jpg,1.141,0.973,22,04/10/2022,12:45 h,  97.9466
