,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000107,GESTIONANDO OBRAS Y OPORTUNIDADES CON LIDERAZGO,,100.000,"2,312","2,312","30,892",00000107.jpg,6.734,5.489,20,03/10/2022,08:16 h,  71.6677
1,00000100,FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO,,100.000,"2,312","2,312","34,617",00000100.jpg,7.546,6.150,20,03/10/2022,08:16 h,  71.6677
2,00000105,REFORMA Y HONRADEZ POR MAS OBRAS,,100.000,"2,312","2,312","155,995",00000105.jpg,34.006,27.716,20,03/10/2022,08:16 h,  71.6677
3,00000102,MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA,,100.000,"2,312","2,312","79,555",00000102.jpg,17.343,14.135,20,03/10/2022,08:16 h,  71.6677
4,00000103,MORAL Y DESARROLLO,,100.000,"2,312","2,312","71,146",00000103.jpg,15.509,12.641,20,03/10/2022,08:16 h,  71.6677
5,00000104,SOMOS PUEBLO,,100.000,"2,312","2,312","36,683",00000104.jpg,7.997,6.518,20,03/10/2022,08:16 h,  71.6677
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,312","2,312","16,454",00000011.jpg,3.587,2.923,20,03/10/2022,08:16 h,  71.6677
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,"2,312","2,312","8,977",00000004.jpg,1.957,1.595,20,03/10/2022,08:16 h,  71.6677
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"2,312","2,312","24,409",00000008.jpg,5.321,4.337,20,03/10/2022,08:16 h,  71.6677
9,,TOTAL DE VOTOS VÁLIDOS,,,,,"458,728",,100.000,81.503,20,03/10/2022,08:16 h,  71.6677
10,80,VOTOS EN BLANCO,,"7,353.463","2,312","2,830","54,345",,,9.656,20,03/10/2022,08:16 h,  71.6677
11,81,VOTOS NULOS,,"7,353.463","2,312","2,830","49,762",,,8.841,20,03/10/2022,08:16 h,  71.6677
12,,TOTAL DE VOTOS EMITIDOS,,,,,"562,835",,,100.000,20,03/10/2022,08:16 h,  71.6677
