,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,10000082,ALIANZA LIBERTAD MADREDIOSENSE,,100.000,318,318,"5,307",10000082.jpg,8.721,7.494,16,03/10/2022,08:16 h,  75.5344
1,00000083,MOVIMIENTO REGIONAL FUERZA POR MADRE DE DIOS - MR FMDD,,100.000,318,318,"8,012",00000083.jpg,13.166,11.314,16,03/10/2022,08:16 h,  75.5344
2,10000081,MOVIMIENTO INDEPENDIENTE AMOR POR MADRE DE DIOS,,100.000,318,318,"17,615",10000081.jpg,28.945,24.875,16,03/10/2022,08:16 h,  75.5344
3,00000009,PODEMOS PERU,,100.000,318,318,"4,032",00000009.jpg,6.625,5.694,16,03/10/2022,08:16 h,  75.5344
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,318,318,"1,453",00000004.jpg,2.388,2.052,16,03/10/2022,08:16 h,  75.5344
5,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,318,318,"18,780",00000007.jpg,30.860,26.520,16,03/10/2022,08:16 h,  75.5344
6,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,318,318,"4,432",00000008.jpg,7.283,6.259,16,03/10/2022,08:16 h,  75.5344
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,318,318,"1,225",00000002.jpg,2.013,1.730,16,03/10/2022,08:16 h,  75.5344
8,,TOTAL DE VOTOS VÁLIDOS,,,,,"60,856",,100.000,85.938,16,03/10/2022,08:16 h,  75.5344
9,80,VOTOS EN BLANCO,,440.077,318,365,"5,728",,,8.089,16,03/10/2022,08:16 h,  75.5344
10,81,VOTOS NULOS,,440.077,318,365,"4,230",,,5.973,16,03/10/2022,08:16 h,  75.5344
11,,TOTAL DE VOTOS EMITIDOS,,,,,"70,814",,,100.000,16,03/10/2022,08:16 h,  75.5344
