,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000072,PATRIA JOVEN,,100.000,"1,814","1,814","70,504",00000072.jpg,19.978,16.499,14,03/10/2022,08:16 h,  68.2725
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,"1,814","1,814","95,258",00000074.jpg,26.993,22.292,14,03/10/2022,08:16 h,  68.2725
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,"1,814","1,814","45,957",00000073.jpg,13.023,10.755,14,03/10/2022,08:16 h,  68.2725
3,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"1,814","1,814","10,016",00000011.jpg,2.838,2.344,14,03/10/2022,08:16 h,  68.2725
4,00000003,RENOVACION POPULAR,,100.000,"1,814","1,814","40,595",00000003.jpg,11.503,9.500,14,03/10/2022,08:16 h,  68.2725
5,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,814","1,814","22,847",00000004.jpg,6.474,5.347,14,03/10/2022,08:16 h,  68.2725
6,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"1,814","1,814","10,633",00000007.jpg,3.013,2.488,14,03/10/2022,08:16 h,  68.2725
7,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"1,814","1,814","12,057",00000008.jpg,3.417,2.821,14,03/10/2022,08:16 h,  68.2725
8,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"1,814","1,814","45,034",00000002.jpg,12.761,10.539,14,03/10/2022,08:16 h,  68.2725
9,,TOTAL DE VOTOS VÁLIDOS,,,,,"352,901",,100.000,82.584,14,03/10/2022,08:16 h,  68.2725
10,80,VOTOS EN BLANCO,,"8,370.253","1,814","2,412","43,506",,,10.181,14,03/10/2022,08:16 h,  68.2725
11,81,VOTOS NULOS,,"8,370.253","1,814","2,412","30,919",,,7.235,14,03/10/2022,08:16 h,  68.2725
12,,TOTAL DE VOTOS EMITIDOS,,,,,"427,326",,,100.000,14,03/10/2022,08:16 h,  68.2725
