,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000129,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,,100.000,"1,010","1,010","50,677",00000129.jpg,34.397,23.776,25,03/10/2022,08:16 h,  73.1884
1,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"1,010","1,010","10,776",00000011.jpg,7.314,5.056,25,03/10/2022,08:16 h,  73.1884
2,00000001,ACCION POPULAR,,100.000,"1,010","1,010","37,643",00000001.jpg,25.550,17.661,25,03/10/2022,08:16 h,  73.1884
3,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,010","1,010","2,994",00000004.jpg,2.032,1.405,25,03/10/2022,08:16 h,  73.1884
4,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"1,010","1,010","13,630",00000007.jpg,9.251,6.395,25,03/10/2022,08:16 h,  73.1884
5,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"1,010","1,010","24,810",00000008.jpg,16.840,11.640,25,03/10/2022,08:16 h,  73.1884
6,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"1,010","1,010","6,800",00000002.jpg,4.615,3.190,25,03/10/2022,08:16 h,  73.1884
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"147,330",,100.000,69.122,25,03/10/2022,08:16 h,  73.1884
8,80,VOTOS EN BLANCO,,878.510,"1,010","1,207","45,954",,,21.560,25,03/10/2022,08:16 h,  73.1884
9,81,VOTOS NULOS,,878.510,"1,010","1,207","19,861",,,9.318,25,03/10/2022,08:16 h,  73.1884
10,,TOTAL DE VOTOS EMITIDOS,,,,,"213,145",,,100.000,25,03/10/2022,08:16 h,  73.1884
