,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance
0,00000099,PIURA RENACE,,100.000,"4,806","4,806","42,769",00000099.jpg,4.650,3.852,19,12/10/2022,10:31 h,  98.9907
1,00000098,ORGANIZACION POLITICA UNIDAD REGIONAL,,100.000,"4,806","4,806","228,072",00000098.jpg,24.797,20.540,19,12/10/2022,10:31 h,  98.9907
2,00000095,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,,100.000,"4,806","4,806","100,849",00000095.jpg,10.965,9.082,19,12/10/2022,10:31 h,  98.9907
3,00000097,REGION PARA TODOS,,100.000,"4,806","4,806","152,872",00000097.jpg,16.621,13.768,19,12/10/2022,10:31 h,  98.9907
4,00000096,CONTIGO REGION,,100.000,"4,806","4,806","167,494",00000096.jpg,18.211,15.084,19,12/10/2022,10:31 h,  98.9907
5,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"4,806","4,806","20,460",00000011.jpg,2.225,1.843,19,12/10/2022,10:31 h,  98.9907
6,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,"4,806","4,806","2,498",00000141.jpg,0.272,0.225,19,12/10/2022,10:31 h,  98.9907
7,00000006,FUERZA POPULAR,,100.000,"4,806","4,806","22,703",00000006.jpg,2.468,2.045,19,12/10/2022,10:31 h,  98.9907
8,00000009,PODEMOS PERU,,100.000,"4,806","4,806","22,828",00000009.jpg,2.482,2.056,19,12/10/2022,10:31 h,  98.9907
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,"4,806","4,806","52,431",00000004.jpg,5.701,4.722,19,12/10/2022,10:31 h,  98.9907
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"4,806","4,806","16,881",00000008.jpg,1.835,1.520,19,12/10/2022,10:31 h,  98.9907
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"4,806","4,806","89,897",00000002.jpg,9.774,8.096,19,12/10/2022,10:31 h,  98.9907
