,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000047,AUTOGOBIERNO AYLLU,,100.000,"2,602","2,602","40,313",00000047.jpg,8.383,6.700,07,03/10/2022,08:16 h,  72.0776
1,00000049,MOVIMIENTO REGIONAL INKA PACHAKUTEQ,,100.000,"2,602","2,602","96,314",00000049.jpg,20.028,16.008,07,03/10/2022,08:16 h,  72.0776
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,602","2,602","55,523",00000011.jpg,11.546,9.229,07,03/10/2022,08:16 h,  72.0776
3,00000005,JUNTOS POR EL PERU,,100.000,"2,602","2,602","31,342",00000005.jpg,6.518,5.209,07,03/10/2022,08:16 h,  72.0776
4,00000009,PODEMOS PERU,,100.000,"2,602","2,602","21,390",00000009.jpg,4.448,3.555,07,03/10/2022,08:16 h,  72.0776
5,00000004,ALIANZA PARA EL PROGRESO,,100.000,"2,602","2,602","63,308",00000004.jpg,13.165,10.522,07,03/10/2022,08:16 h,  72.0776
6,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"2,602","2,602","36,592",00000008.jpg,7.609,6.082,07,03/10/2022,08:16 h,  72.0776
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"2,602","2,602","136,106",00000002.jpg,28.303,22.622,07,03/10/2022,08:16 h,  72.0776
8,,TOTAL DE VOTOS VÁLIDOS,,,,,"480,888",,100.000,79.929,07,03/10/2022,08:16 h,  72.0776
9,80,VOTOS EN BLANCO,,"7,742.109","2,602","2,858","58,142",,,9.664,07,03/10/2022,08:16 h,  72.0776
10,81,VOTOS NULOS,,"7,742.109","2,602","2,858","62,617",,,10.408,07,03/10/2022,08:16 h,  72.0776
11,,TOTAL DE VOTOS EMITIDOS,,,,,"601,647",,,100.000,07,03/10/2022,08:16 h,  72.0776
