,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000068,MOVIMIENTO REGIONAL FORTALEZA PERU,,100.000,"3,674","3,674","59,468",00000068.jpg,8.579,7.188,12,03/10/2022,08:16 h,  74.2973
1,00000069,MOVIMIENTO REGIONAL TRABAJO MAS TRABAJO,,100.000,"3,674","3,674","169,097",00000069.jpg,24.394,20.440,12,03/10/2022,08:16 h,  74.2973
2,00000067,SUMATE,,100.000,"3,674","3,674","36,901",00000067.jpg,5.323,4.460,12,03/10/2022,08:16 h,  74.2973
3,00000066,NUEVA LIBERTAD,,100.000,"3,674","3,674","46,779",00000066.jpg,6.748,5.655,12,03/10/2022,08:16 h,  74.2973
4,00000006,FUERZA POPULAR,,100.000,"3,674","3,674","21,126",00000006.jpg,3.048,2.554,12,03/10/2022,08:16 h,  74.2973
5,00000001,ACCION POPULAR,,100.000,"3,674","3,674","15,263",00000001.jpg,2.202,1.845,12,03/10/2022,08:16 h,  74.2973
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,"3,674","3,674","248,812",00000004.jpg,35.893,30.076,12,03/10/2022,08:16 h,  74.2973
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"3,674","3,674","95,751",00000002.jpg,13.813,11.574,12,03/10/2022,08:16 h,  74.2973
8,,TOTAL DE VOTOS VÁLIDOS,,,,,"693,197",,100.000,83.792,12,03/10/2022,08:16 h,  74.2973
9,80,VOTOS EN BLANCO,,"4,679.192","3,674","4,547","64,201",,,7.760,12,03/10/2022,08:16 h,  74.2973
10,81,VOTOS NULOS,,"4,679.192","3,674","4,547","69,889",,,8.448,12,03/10/2022,08:16 h,  74.2973
11,,TOTAL DE VOTOS EMITIDOS,,,,,"827,287",,,100.000,12,03/10/2022,08:16 h,  74.2973
