,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
0,51,NUEVA LIBERTAD,1,6,SITABAMBA - SANTIAGO DE CHUCO - LA LIBERTAD,2232,LA LIBERTAD,SANTIAGO DE CHUCO,SITABAMBA,6,3,3,NO,0,6,MUNICIPAL DISTRITAL
1,55,NUEVA LIBERTAD,1,9,CHICAMA - ASCOPE - LA LIBERTAD,2232,LA LIBERTAD,ASCOPE,CHICAMA,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
2,58,UNION REGIONAL,1,12,SACANCHE - HUALLAGA - SAN MARTIN,2722,SAN MARTIN,HUALLAGA,SACANCHE,6,7,5,SI,6,6,MUNICIPAL DISTRITAL
3,68,MOVIMIENTO REGIONAL SOMOS CALLAO,1,13,BELLAVISTA - CALLAO - CALLAO,2896,CALLAO,CALLAO,BELLAVISTA,6,7,6,SI,3,10,MUNICIPAL DISTRITAL
4,69,UNION REGIONAL,1,11,UCHIZA - TOCACHE - SAN MARTIN,2722,SAN MARTIN,TOCACHE,UCHIZA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
5,73,MOVIMIENTO REGIONAL SOMOS CALLAO,1,10,CARMEN DE LA LEGUA REYNOSO - CALLAO - CALLAO,2896,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,6,6,4,SI,2,8,MUNICIPAL DISTRITAL
6,74,MOVIMIENTO REGIONAL SOMOS CALLAO,1,12,LA PERLA - CALLAO - CALLAO,2896,CALLAO,CALLAO,LA PERLA,6,6,6,SI,2,10,MUNICIPAL DISTRITAL
7,76,UNION REGIONAL,1,11,SANTA LUCIA - TOCACHE - SAN MARTIN,2722,SAN MARTIN,TOCACHE,SANTA LUCIA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
8,84,UNION REGIONAL,1,11,SAN PABLO - BELLAVISTA - SAN MARTIN,2722,SAN MARTIN,BELLAVISTA,SAN PABLO,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
9,91,SOMOS PUEBLO,1,11,CABANILLA - LAMPA - PUNO,2657,PUNO,LAMPA,CABANILLA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
10,78,MOVIMIENTO REGIONAL SOMOS CALLAO,1,8,LA PUNTA - CALLAO - CALLAO,2896,CALLAO,CALLAO,LA PUNTA,6,5,3,SI,2,6,MUNICIPAL DISTRITAL
11,126,UNION REGIONAL,1,11,POLVORA - TOCACHE - SAN MARTIN,2722,SAN MARTIN,TOCACHE,POLVORA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
12,128,FRENTE REGIONAL DE CAJAMARCA,1,9,SANTO TOMAS - CUTERVO - CAJAMARCA,160,CAJAMARCA,CUTERVO,SANTO TOMAS,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
13,136,UNION REGIONAL,1,11,HUICUNGO - MARISCAL CACERES - SAN MARTIN,2722,SAN MARTIN,MARISCAL CACERES,HUICUNGO,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
14,137,UNION REGIONAL,1,11,PACHIZA - MARISCAL CACERES - SAN MARTIN,2722,SAN MARTIN,MARISCAL CACERES,PACHIZA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
15,140,JUNTOS POR EL PERU,1,10,CHACLACAYO - LIMA - LIMA,1264,LIMA,LIMA,CHACLACAYO,6,5,5,SI,2,8,MUNICIPAL DISTRITAL
16,144,SOCIOS POR ANCASH,1,9,MACATE - SANTA - ANCASH,2881,ANCASH,SANTA,MACATE,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
17,146,SOCIOS POR ANCASH,1,8,NEPEÑA - SANTA - ANCASH,2881,ANCASH,SANTA,NEPEÑA,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
18,147,RENOVACION POPULAR,1,15,EL PORVENIR - TRUJILLO - LA LIBERTAD,22,LA LIBERTAD,TRUJILLO,EL PORVENIR,6,7,8,SI,3,12,MUNICIPAL DISTRITAL
19,151,SOCIOS POR ANCASH,1,6,COISHCO - SANTA - ANCASH,2881,ANCASH,SANTA,COISHCO,6,3,3,NO,0,6,MUNICIPAL DISTRITAL
20,155,SOCIOS POR ANCASH,1,9,SANTA - SANTA - ANCASH,2881,ANCASH,SANTA,SANTA,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
21,157,"AREQUIPA, TRADICION Y FUTURO",1,8,CHARACATO - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,CHARACATO,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
22,160,SOCIOS POR ANCASH,1,8,MORO - SANTA - ANCASH,2881,ANCASH,SANTA,MORO,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
23,169,"AREQUIPA, TRADICION Y FUTURO",1,8,POLOBAYA - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,POLOBAYA,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
24,175,RENOVACION POPULAR,1,13,HUANCHACO - TRUJILLO - LA LIBERTAD,22,LA LIBERTAD,TRUJILLO,HUANCHACO,6,7,6,SI,3,10,MUNICIPAL DISTRITAL
25,188,SOCIOS POR ANCASH,1,8,HUACASCHUQUE - PALLASCA - ANCASH,2881,ANCASH,PALLASCA,HUACASCHUQUE,6,5,3,SI,2,6,MUNICIPAL DISTRITAL
26,187,RENOVACION POPULAR,1,11,FLORENCIA DE MORA - TRUJILLO - LA LIBERTAD,22,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,6,6,5,SI,3,8,MUNICIPAL DISTRITAL
27,196,"AREQUIPA, TRADICION Y FUTURO",1,12,JOSE LUIS BUSTAMANTE Y RIVERO - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,6,6,6,SI,2,10,MUNICIPAL DISTRITAL
28,202,UNION REGIONAL,1,10,SANTA ROSA - EL DORADO - SAN MARTIN,2722,SAN MARTIN,EL DORADO,SANTA ROSA,6,5,5,SI,4,6,MUNICIPAL DISTRITAL
29,218,SENTIMIENTO AMAZONENSE REGIONAL,1,9,MARIA - LUYA - AMAZONAS,2277,AMAZONAS,LUYA,MARIA,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
30,234,UNION REGIONAL,1,11,JEPELACIO - MOYOBAMBA - SAN MARTIN,2722,SAN MARTIN,MOYOBAMBA,JEPELACIO,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
31,268,SENTIMIENTO AMAZONENSE REGIONAL,1,6,PROVIDENCIA - LUYA - AMAZONAS,2277,AMAZONAS,LUYA,PROVIDENCIA,6,3,3,NO,0,6,MUNICIPAL DISTRITAL
32,275,SOCIOS POR ANCASH,1,9,CACERES DEL PERU - SANTA - ANCASH,2881,ANCASH,SANTA,CACERES DEL PERU,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
33,301,SENTIMIENTO AMAZONENSE REGIONAL,1,8,LEVANTO - CHACHAPOYAS - AMAZONAS,2277,AMAZONAS,CHACHAPOYAS,LEVANTO,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
34,333,"AREQUIPA, TRADICION Y FUTURO",1,8,SANTA ISABEL DE SIGUAS - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
35,401,TRABAJO MAS TRABAJO,1,14,MOCHE - TRUJILLO - LA LIBERTAD,2884,LA LIBERTAD,TRUJILLO,MOCHE,6,8,6,SI,6,8,MUNICIPAL DISTRITAL
36,421,UNION REGIONAL,1,10,MORALES - SAN MARTIN - SAN MARTIN,2722,SAN MARTIN,SAN MARTIN,MORALES,6,5,5,SI,2,8,MUNICIPAL DISTRITAL
37,447,TRABAJO MAS TRABAJO,1,10,SIMBAL - TRUJILLO - LA LIBERTAD,2884,LA LIBERTAD,TRUJILLO,SIMBAL,6,5,5,SI,4,6,MUNICIPAL DISTRITAL
38,231,SENTIMIENTO AMAZONENSE REGIONAL,1,10,SAN JUAN DE LOPECANCHA - LUYA - AMAZONAS,2277,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,6,5,5,SI,4,6,MUNICIPAL DISTRITAL
39,457,TRABAJO MAS TRABAJO,1,9,BAMBAMARCA - BOLIVAR - LA LIBERTAD,2884,LA LIBERTAD,BOLIVAR,BAMBAMARCA,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
40,460,TRABAJO MAS TRABAJO,1,10,POROTO - TRUJILLO - LA LIBERTAD,2884,LA LIBERTAD,TRUJILLO,POROTO,6,5,5,SI,4,6,MUNICIPAL DISTRITAL
41,486,TRABAJO MAS TRABAJO,1,9,CARABAMBA - JULCAN - LA LIBERTAD,2884,LA LIBERTAD,JULCAN,CARABAMBA,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
42,518,TRABAJO MAS TRABAJO,1,10,HUASO - JULCAN - LA LIBERTAD,2884,LA LIBERTAD,JULCAN,HUASO,6,6,4,SI,4,6,MUNICIPAL DISTRITAL
43,528,FRENTE REGIONAL DE CAJAMARCA,1,9,SAN JOSE DE LOURDES - SAN IGNACIO - CAJAMARCA,160,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,6,5,4,SI,3,6,MUNICIPAL DISTRITAL
44,530,FRENTE REGIONAL DE CAJAMARCA,1,8,HUARANGO - SAN IGNACIO - CAJAMARCA,160,CAJAMARCA,SAN IGNACIO,HUARANGO,6,5,3,SI,2,6,MUNICIPAL DISTRITAL
45,129,FRENTE REGIONAL DE CAJAMARCA,1,8,LA COIPA - SAN IGNACIO - CAJAMARCA,160,CAJAMARCA,SAN IGNACIO,LA COIPA,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
46,537,FRENTE REGIONAL DE CAJAMARCA,1,8,TABACONAS - SAN IGNACIO - CAJAMARCA,160,CAJAMARCA,SAN IGNACIO,TABACONAS,6,5,3,SI,2,6,MUNICIPAL DISTRITAL
47,540,MOVIMIENTO REGIONAL AYNI,1,11,SANTA ANA - CASTROVIRREYNA - HUANCAVELICA,136,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
48,541,MOVIMIENTO REGIONAL AYNI,1,11,MOLLEPAMPA - CASTROVIRREYNA - HUANCAVELICA,136,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
49,543,UNION REGIONAL,1,11,SHUNTE - TOCACHE - SAN MARTIN,2722,SAN MARTIN,TOCACHE,SHUNTE,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
50,544,MOVIMIENTO REGIONAL AYNI,1,11,HUAMATAMBO - CASTROVIRREYNA - HUANCAVELICA,136,HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,6,6,5,SI,5,6,MUNICIPAL DISTRITAL
51,554,POR TI CALLAO,1,8,LA PUNTA - CALLAO - CALLAO,2199,CALLAO,CALLAO,LA PUNTA,6,5,3,SI,2,6,MUNICIPAL DISTRITAL
52,377,"AREQUIPA, TRADICION Y FUTURO",1,14,MIRAFLORES - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,MIRAFLORES,6,8,6,SI,4,10,MUNICIPAL DISTRITAL
53,349,"AREQUIPA, TRADICION Y FUTURO",1,8,SABANDIA - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,SABANDIA,6,4,4,SI,2,6,MUNICIPAL DISTRITAL
54,356,"AREQUIPA, TRADICION Y FUTURO",1,10,SACHACA - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,SACHACA,6,5,5,SI,2,8,MUNICIPAL DISTRITAL
55,598,CONTIGO REGION,1,14,CATACAOS - PIURA - PIURA,2862,PIURA,PIURA,CATACAOS,6,8,6,SI,4,10,MUNICIPAL DISTRITAL
56,611,CONTIGO REGION,1,10,EL TALLAN - PIURA - PIURA,2862,PIURA,PIURA,EL TALLAN,6,6,4,SI,4,6,MUNICIPAL DISTRITAL
57,619,CONTIGO REGION,1,16,TAMBO GRANDE - PIURA - PIURA,2862,PIURA,PIURA,TAMBO GRANDE,6,9,7,SI,4,12,MUNICIPAL DISTRITAL
58,626,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,1,6,MIRAFLORES - YAUYOS - LIMA,332,LIMA,YAUYOS,MIRAFLORES,6,4,2,NO,0,6,MUNICIPAL DISTRITAL
59,538,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,1,6,TOMAS - YAUYOS - LIMA,332,LIMA,YAUYOS,TOMAS,6,4,2,NO,0,6,MUNICIPAL DISTRITAL
60,566,CONTIGO CALLAO,1,14,BELLAVISTA - CALLAO - CALLAO,2652,CALLAO,CALLAO,BELLAVISTA,6,8,6,SI,4,10,MUNICIPAL DISTRITAL
61,135,"AREQUIPA, TRADICION Y FUTURO",1,6,POCSI - AREQUIPA - AREQUIPA,142,AREQUIPA,AREQUIPA,POCSI,6,3,3,NO,0,6,MUNICIPAL DISTRITAL
62,638,CONTIGO REGION,1,11,LAS LOMAS - PIURA - PIURA,2862,PIURA,PIURA,LAS LOMAS,6,5,6,SI,3,8,MUNICIPAL DISTRITAL
63,648,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,1,8,ALEXANDER VON HUMBOLDT - PADRE ABAD - UCAYALI,2278,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,6,5,3,SI,2,6,MUNICIPAL DISTRITAL
64,564,CONTIGO CALLAO,1,19,VENTANILLA - CALLAO - CALLAO,2652,CALLAO,CALLAO,VENTANILLA,6,10,9,SI,5,14,MUNICIPAL DISTRITAL
65,634,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,1,6,CACRA - YAUYOS - LIMA,332,LIMA,YAUYOS,CACRA,6,3,3,NO,0,6,MUNICIPAL DISTRITAL
